address,name,phone,rating,scraped_at,url,website
" 8802 Comet St, El Paso, TX 79904, United States",Professional Roofers & Contractors,"""+1 915-533-8609",4.9,2025-02-26T05:18:52.978013,https://www.google.com/maps/place/Professional+Roofers+%26+Contractors/data=!4m7!3m6!1s0x86e756d67bf40745:0x3153cc1cf43fc456!8m2!3d31.863223!4d-106.4469615!16s%2Fg%2F11f124lfhk!19sChIJRQf0e9ZW54YRVsQ_9BzMUzE?authuser=0&hl=en&rclk=1,http://www.professionalrooferssite.com/
" 5909 Via Loma Dr, El Paso, TX 79912, United States",A&M Roofing El Paso,"""+1 915-342-2000",4.9,2025-02-26T05:18:57.372801,https://www.google.com/maps/place/A%26M+Roofing+El+Paso/data=!4m7!3m6!1s0x86e7570dcecbebf5:0xd697a6a0f9be9513!8m2!3d31.8612994!4d-106.5183133!16s%2Fg%2F11fx08f8gm!19sChIJ9evLzg1X54YRE5W--aCml9Y?authuser=0&hl=en&rclk=1,https://www.amroofingelpaso.com/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb&utm_content=website
" 3405 Gateway Blvd W, El Paso, TX 79903, United States","RL Roofing Systems and Construction, LLC","""+1 915-727-5406",4.8,2025-02-26T05:19:00.857565,"https://www.google.com/maps/place/RL+Roofing+Systems+and+Construction,+LLC/data=!4m7!3m6!1s0x86ddf9942bd0b94d:0xf1b0c8fb1defeb58!8m2!3d31.7788443!4d-106.453619!16s%2Fg%2F11hdjgc95_!19sChIJTbnQK5T53YYRWOvvHfvIsPE?authuser=0&hl=en&rclk=1",https://www.rlroofingsystems.com/
" 11115 Dyer St, El Paso, TX 79934, United States",Star City Roofing,"""+1 915-740-5961",4.9,2025-02-26T05:19:04.078313,https://www.google.com/maps/place/Star+City+Roofing/data=!4m7!3m6!1s0xa5b428474c7bc6a3:0x4ca087ce70514be9!8m2!3d31.9343121!4d-106.3840943!16s%2Fg%2F11vk7xgpjs!19sChIJo8Z7TEcotKUR6UtRcM6HoEw?authuser=0&hl=en&rclk=1,https://starcityroofing.com/
" 1719 Wyoming Ave, El Paso, TX 79902, United States",Smith & Ramirez Roofing,"""+1 915-600-2866",4.8,2025-02-26T05:19:07.484844,https://www.google.com/maps/place/Smith+%26+Ramirez+Roofing/data=!4m7!3m6!1s0x86e75a5ba7e764fb:0x84a4290008db67a8!8m2!3d31.7729987!4d-106.4745572!16s%2Fg%2F126305tbs!19sChIJ-2Tnp1ta54YRqGfbCAAppIQ?authuser=0&hl=en&rclk=1,https://www.smithandramirezroofing.com/
" 5616 Dailey Ave, El Paso, TX 79905, United States",Duran's Roofing Inc.,"""+1 915-778-1300",4.9,2025-02-26T05:19:10.942193,https://www.google.com/maps/place/Duran%27s+Roofing+Inc./data=!4m7!3m6!1s0x86e75bcb5e656f97:0x2bb8168bd74395a3!8m2!3d31.774231!4d-106.422606!16s%2Fg%2F1td42ykh!19sChIJl29lXstb54YRo5VD14sWuCs?authuser=0&hl=en&rclk=1,http://duransroofingep.com/
" 4100 Rio Bravo St # 206, El Paso, TX 79902, United States",Rhino Roofing & Construction LLC,"""+1 915-275-5120",4.8,2025-02-26T05:19:13.732402,https://www.google.com/maps/place/Rhino+Roofing+%26+Construction+LLC/data=!4m7!3m6!1s0x86ddfee36c3071a7:0x3dcbf8a69a390e5a!8m2!3d31.7937358!4d-106.516512!16s%2Fg%2F11gcq4x8mq!19sChIJp3EwbOP-3YYRWg45mqb4yz0?authuser=0&hl=en&rclk=1,http://rhinoroofingep.com/
" 4770 W Trans Mountain Rd, El Paso, TX 79924, United States",Dependable Roofing,"""+1 915-755-3038",4.7,2025-02-26T05:19:16.894633,https://www.google.com/maps/place/Dependable+Roofing/data=!4m7!3m6!1s0x86e75151692722b1:0xa3ec12d464ca6795!8m2!3d31.8977584!4d-106.4314454!16s%2Fg%2F1tlndx17!19sChIJsSInaVFR54YRlWfKZNQS7KM?authuser=0&hl=en&rclk=1,http://www.dependableroofingep.com/
" 8032 N Mesa St, El Paso, TX 79932, United States",UTX Roofing & Construction,"""+1 915-701-3685",5.0,2025-02-26T05:19:21.207050,https://www.google.com/maps/place/UTX+Roofing+%26+Construction/data=!4m7!3m6!1s0x86ddf9a929ab128d:0xf959830923ffe523!8m2!3d31.8412242!4d-106.5783992!16s%2Fg%2F11j321729s!19sChIJjRKrKan53YYRI-X_IwmDWfk?authuser=0&hl=en&rclk=1,http://www.utxroofing.com/
" 1142 Geronimo Dr, El Paso, TX 79925, United States",Pioneer Roofing & Construction,"""+1 915-926-6099",5.0,2025-02-26T05:19:24.711214,https://www.google.com/maps/place/Pioneer+Roofing+%26+Construction/data=!4m7!3m6!1s0x86e753cf16896c7d:0xe2a1422a9b9f42d3!8m2!3d31.7841941!4d-106.4071942!16s%2Fg%2F11bxb4vsvp!19sChIJfWyJFs9T54YR00KfmypCoeI?authuser=0&hl=en&rclk=1,http://pioneerroofingep.com/
