address,name,phone,rating,scraped_at,url,website
" 10821 N Central Expy, Dallas, TX 75231, United States",Group Carpenter's LLC,"""+1 469-684-8492",4.8,2025-03-03T02:35:46.045948,https://www.google.com/maps/place/Group+Carpenter%27s+LLC/data=!4m7!3m6!1s0x864ea11aae80cd21:0x685728083066b757!8m2!3d32.894562!4d-96.7697125!16s%2Fg%2F11h_x51kq3!19sChIJIc2ArhqhToYRV7dmMAgoV2g?authuser=0&hl=en&rclk=1,http://groupcarpenters.com/
" 7114 Manor Oaks Dr, Dallas, TX 75248, United States",First Carpentry,"""+1 972-705-9901",5.0,2025-03-03T02:35:49.179470,https://www.google.com/maps/place/First+Carpentry/data=!4m7!3m6!1s0x864c21844594e645:0x97d56bd98e741730!8m2!3d32.9772662!4d-96.7849434!16s%2Fg%2F1tdb4pgk!19sChIJReaURYQhTIYRMBd0jtlr1Zc?authuser=0&hl=en&rclk=1,http://www.firstcarpentry.com/
,Innovations Carpentry,"""+1 817-642-7176",5.0,2025-03-03T02:35:52.192999,https://www.google.com/maps/place/Innovations+Carpentry/data=!4m7!3m6!1s0x864e87345f8e6865:0xb50074deea05323a!8m2!3d32.7998764!4d-97.031894!16s%2Fg%2F11qn0c0vyl!19sChIJZWiOXzSHToYROjIF6t50ALU?authuser=0&hl=en&rclk=1,http://www.innovationscarpentry.com/
" 5930 Lyndon B Johnson Fwy, Dallas, TX 75240, United States",Mr. Handyman of Dallas,"""+1 214-838-7162",4.5,2025-03-03T02:35:55.383728,https://www.google.com/maps/place/Mr.+Handyman+of+Dallas/data=!4m7!3m6!1s0x864c20efb2fe4741:0x7535ee65fbc15198!8m2!3d32.9248142!4d-96.8049997!16s%2Fg%2F1tf1c4by!19sChIJQUf-su8gTIYRmFHB-2XuNXU?authuser=0&hl=en&rclk=1,https://www.mrhandymandallas.com/aboutus
,Garcia's Wood and More,"""+1 469-661-4839",5.0,2025-03-03T02:35:58.471924,https://www.google.com/maps/place/Garcia%27s+Wood+and+More/data=!4m7!3m6!1s0x88309f7a116a36fb:0x627ca1162051467f!8m2!3d32.869322!4d-96.672329!16s%2Fg%2F11sdy141dg!19sChIJ-zZqEXqfMIgRf0ZRIBahfGI?authuser=0&hl=en&rclk=1,
" 204 S Main St #100, Keller, TX 76248, United States","Mr. Handyman of Keller, Roanoke and Alliance","""+1 817-409-8196",4.9,2025-03-03T02:36:01.900654,"https://www.google.com/maps/place/Mr.+Handyman+of+Keller,+Roanoke+and+Alliance/data=!4m7!3m6!1s0x864c2d1f87b1e3d5:0xf37f448609158f4f!8m2!3d32.9317787!4d-97.2541719!16s%2Fg%2F1td3l_c3!19sChIJ1eOxhx8tTIYRT48VCYZEf_M?authuser=0&hl=en&rclk=1",https://www.mrhandyman.com/keller-roanoke-alliance/?cid=LSTL_MHM000197&utm_source=gmb&utm_campaign=local&utm_medium=organic
" 5001 FM1187 STE 290, Burleson, TX 76028, United States","Mr. Handyman of Burleson, Midlothian and E Cleburne","""+1 817-587-9887",4.8,2025-03-03T02:36:05.634671,"https://www.google.com/maps/place/Mr.+Handyman+of+Burleson,+Midlothian+and+E+Cleburne/data=!4m7!3m6!1s0x864e678643bf8147:0x639b55d07f1f8995!8m2!3d32.5806767!4d-97.2545394!16s%2Fg%2F11j8_pr4yw!19sChIJR4G_Q4ZnToYRlYkff9BVm2M?authuser=0&hl=en&rclk=1",https://www.mrhandyman.com/burleson-midlothian-cleburne/?cid=LSTL_MHM000197&utm_source=gmb&utm_campaign=local&utm_medium=organic
" 9965 Royal Ln Ste 29, Dallas, TX 75231, United States",East Dallas Carpentry,"""+1 469-268-5146",5.0,2025-03-03T02:36:08.664670,https://www.google.com/maps/place/East+Dallas+Carpentry/data=!4m7!3m6!1s0x864ea0770d06f15d:0x9d69cfa5d9ef65b!8m2!3d32.895216!4d-96.7187812!16s%2Fg%2F11fy56wy2c!19sChIJXfEGDXegToYRW_aeXfqc1gk?authuser=0&hl=en&rclk=1,
,Furniture Assembly Of Dallas,"""+1 469-274-9817",5.0,2025-03-03T02:36:11.464265,https://www.google.com/maps/place/Furniture+Assembly+Of+Dallas/data=!4m7!3m6!1s0x6a361e0e729bc5cb:0x130f3fe0ea841bb7!8m2!3d32.7287956!4d-96.9475675!16s%2Fg%2F11l5g_8_pw!19sChIJy8Wbcg4eNmoRtxuE6uA_DxM?authuser=0&hl=en&rclk=1,https://furnitureassemblyofdallas.com/
,That 1 Painter Southlake,"""+1 682-900-3212",4.8,2025-03-03T02:36:14.418228,https://www.google.com/maps/place/That+1+Painter+Southlake/data=!4m7!3m6!1s0x4f648160434216c3:0x31aa47c746dd3b86!8m2!3d32.949271!4d-97.1619585!16s%2Fg%2F11spr2rj3t!19sChIJwxZCQ2CBZE8RhjvdRsdHqjE?authuser=0&hl=en&rclk=1,https://southlake.that1painter.com/
